"site_code";"site_name";"management_type";"species_composition";"site_category";"elevation";"x";"y";"species";"year";"sample_depth";"cambial_age";"max_cambial_age";"cambial_age_range";"cum_DBH";"cum_BA";"cv_TRW";"mid_TRW";"std_chron";"res_chron";"last1";"last3";"last5";"sd_RWI";"cv_RWI";"last1_RWI";"last3_RWI";"last5_RWI"
"P810405ABAL.1";"P810405ABAL";"Brevniste";"No_data";"Monoculture";"extreme";812;14.158569;48.842847;"ABAL";1960;7;64;86;38;22;399.9;0.606815453035083;1.66571428571429;1.0054289107392;0.645852746945408;2.00357142857143;1.66619047619048;1.63614285714286;0.46832065727285;0.442218373538041;1.32501929416035;1.17473966507357;1.14052035214412
"P810405ABAL.2";"P810405ABAL";"Brevniste";"No_data";"Monoculture";"extreme";812;14.158569;48.842847;"ABAL";1961;7;65;87;38;22.3;412.3;0.533351374715398;1.78285714285714;0.90534933218714;1.18401256483709;1.66571428571429;1.76095238095238;1.55471428571429;0.735747756614168;0.620736185800214;1.05902577843153;1.21964414071419;1.06895048292466
"P810405ABAL.3";"P810405ABAL";"Brevniste";"No_data";"Monoculture";"extreme";812;14.158569;48.842847;"ABAL";1962;7;66;88;38;22.6;422;0.620614159519868;1.38071428571429;0.848896904595988;0.675515216711062;1.78285714285714;1.81738095238095;1.68942857142857;0.431207065980448;0.488401457991502;1.18528252975245;1.18977586744811;1.15370546068094
"P810405ABAL.4";"P810405ABAL";"Brevniste";"No_data";"Monoculture";"extreme";812;14.158569;48.842847;"ABAL";1963;7;67;89;38;22.9;432.3;0.513355304957565;1.43;0.893707724432571;1.18933299956237;1.38071428571429;1.6097619047619;1.68928571428571;0.691966892177358;0.675060266235841;0.882894714839182;1.04240100767439;1.14542193334684
"P810405ABAL.5";"P810405ABAL";"Brevniste";"No_data";"Monoculture";"extreme";812;14.158569;48.842847;"ABAL";1964;7;68;90;38;23.2;442;0.585790391966472;1.28071428571429;0.862341398397799;1.02008142300115;1.43;1.53119047619048;1.65257142857143;0.517298500495954;0.600224085881985;1.02504461718031;1.03107395392398;1.09545338687277
"P810405ABAL.6";"P810405ABAL";"Brevniste";"No_data";"Monoculture";"extreme";812;14.158569;48.842847;"ABAL";1965;7;69;91;38;23.4;452.2;0.718451496476588;1.33857142857143;0.509916037241346;1.05950354835923;1.28071428571429;1.36380952380952;1.508;0.968104196594065;0.931310430476832;0.861842289677234;0.923260540565576;1.00281798597614
"P810405ABAL.7";"P810405ABAL";"Brevniste";"No_data";"Monoculture";"extreme";812;14.158569;48.842847;"ABAL";1966;7;70;92;38;23.7;460.8;0.820994969826018;1.12857142857143;0.35490362811055;0.746012797346802;1.33857142857143;1.3497619047619;1.44257142857143;0.50453877765778;0.704607274841734;1.03950752070756;0.97546480918837;0.998914334431349
"P810405ABAL.8";"P810405ABAL";"Brevniste";"No_data";"Monoculture";"extreme";812;14.158569;48.842847;"ABAL";1967;7;71;93;38;23.9;469.5;0.593869282887578;1.15785714285714;0.540751982027854;0.947479563499183;1.12857142857143;1.24928571428571;1.31171428571429;0.715681524925882;0.866267634302825;0.716056725033257;0.872468845139351;0.90506917348751
"P810405ABAL.9";"P810405ABAL";"Brevniste";"No_data";"Monoculture";"extreme";812;14.158569;48.842847;"ABAL";1968;7;72;94;38;24.1;477;0.824824974697898;0.985714285714286;0.338076549192507;0.820108010116354;1.15785714285714;1.20833333333333;1.26714285714286;0.578048658037;0.87054613452334;0.82616676023209;0.86057700199097;0.893723582566091
"P810405ABAL.10";"P810405ABAL";"Brevniste";"No_data";"Monoculture";"extreme";812;14.158569;48.842847;"ABAL";1969;7;73;95;38;24.3;485.2;0.787351624239891;1.05214285714286;0.641607942313732;0.951603204233139;0.985714285714286;1.09071428571429;1.17828571428571;0.396802351711821;0.606840442192172;0.664006920613697;0.735410135293015;0.821516043252768
