"year";"min_bal";"mean_bal";"site"
"P800040PISY_clim.1";1961;-79.5521762628666;-33.8942659208771;"P800040PISY"
"P800040PISY_clim.2";1962;-94.9948319954537;-24.1196623211845;"P800040PISY"
"P800040PISY_clim.3";1963;-116.983210263359;-35.4894692152421;"P800040PISY"
"P800040PISY_clim.4";1964;-73.9826854638555;-43.2218308832286;"P800040PISY"
"P800040PISY_clim.5";1965;-48.7159536373423;3.87930009302074;"P800040PISY"
"P800040PISY_clim.6";1966;-43.4313182334327;-14.3596088452709;"P800040PISY"
"P800040PISY_clim.7";1967;-80.9970016792404;-42.5184262150082;"P800040PISY"
"P800040PISY_clim.8";1968;-67.2259070622025;-18.3308126515421;"P800040PISY"
"P800040PISY_clim.9";1969;-102.219958419822;-43.1105436319335;"P800040PISY"
"P800040PISY_clim.10";1970;-75.547336629398;-33.8981644573357;"P800040PISY"
"P800040PISY_clim.11";1971;-94.2117933502521;-51.193021616281;"P800040PISY"
"P800040PISY_clim.12";1972;-62.7184276389482;-21.9421320734937;"P800040PISY"
"P800040PISY_clim.13";1973;-79.4420181555178;-44.2344610663298;"P800040PISY"
"P800040PISY_clim.14";1974;-99.2352281639795;-44.3830139411308;"P800040PISY"
"P800040PISY_clim.15";1975;-96.0516973436957;-47.6308256405114;"P800040PISY"
"P800040PISY_clim.16";1976;-88.7664094832811;-46.3300323095948;"P800040PISY"
"P800040PISY_clim.17";1977;-88.0126312004548;-34.4358532996915;"P800040PISY"
"P800040PISY_clim.18";1978;-69.9803859750514;-35.7513769659473;"P800040PISY"
"P800040PISY_clim.19";1979;-58.1347901147717;-33.1998595593944;"P800040PISY"
"P800040PISY_clim.20";1980;-30.9256938527634;-19.2879558929019;"P800040PISY"
"P800040PISY_clim.21";1981;-96.736177777027;-42.4539642888637;"P800040PISY"
"P800040PISY_clim.22";1982;-54.6995237172919;-36.4183213774775;"P800040PISY"
"P800040PISY_clim.23";1983;-114.490034003942;-61.7174229484235;"P800040PISY"
"P800040PISY_clim.24";1984;-59.5710641053455;-30.2538274578242;"P800040PISY"
"P800040PISY_clim.25";1985;-50.6847706252753;-16.9548022343307;"P800040PISY"
"P800040PISY_clim.26";1986;-67.9342521111165;-39.8569539955963;"P800040PISY"
