"year";"min_spei1";"min_spei3";"mean_spei1";"mean_spei3";"site"
"P800040PISY_clim.1";1961;-1.77637178974171;-0.620514822235848;0.0992233797838428;0.500854711547796;"P800040PISY"
"P800040PISY_clim.2";1962;-1.11684342357669;-0.060268200363434;0.3132070476729;1.08780777679265;"P800040PISY"
"P800040PISY_clim.3";1963;-1.56928238317202;-0.264829523104598;0.0902193119261527;0.0963999643087911;"P800040PISY"
"P800040PISY_clim.4";1964;-1.13150417272937;-0.650335882813011;-0.165067045486561;0.0909330697793295;"P800040PISY"
"P800040PISY_clim.5";1965;-0.0624243158097396;1.39456177881699;1.19533246079505;1.96231955062654;"P800040PISY"
"P800040PISY_clim.6";1966;-0.55138045088294;-0.44219238266334;0.634962757892385;1.02150258454765;"P800040PISY"
"P800040PISY_clim.7";1967;-0.576954890919435;-0.984624000780116;-0.0647658884758722;-0.537484249191824;"P800040PISY"
"P800040PISY_clim.8";1968;-0.342672599320674;-0.954233451421234;0.461864815697876;0.605719914844187;"P800040PISY"
"P800040PISY_clim.9";1969;-1.30932197381839;-0.794058138940662;-0.255338347632408;0.054429680015748;"P800040PISY"
"P800040PISY_clim.10";1970;-1.18486103163792;0.24403870090284;0.103755958881382;0.834675797787544;"P800040PISY"
"P800040PISY_clim.11";1971;-1.00451592200731;-1.02394630557554;-0.367700518591863;-0.632576427381821;"P800040PISY"
"P800040PISY_clim.12";1972;-0.64113459151937;0.0570231701343779;0.523161058406935;0.778233903053775;"P800040PISY"
"P800040PISY_clim.13";1973;-1.89704965624063;-1.395538701892;-0.169795041675896;-0.418535406357063;"P800040PISY"
"P800040PISY_clim.14";1974;-1.24810343928256;-1.84920384616403;-0.171207168517615;-0.593371095763356;"P800040PISY"
"P800040PISY_clim.15";1975;-2.09130068994364;-1.63793045790321;-0.356663635697031;-0.370110346223282;"P800040PISY"
"P800040PISY_clim.16";1976;-1.22523154012659;-1.39057777597227;-0.237116821509246;-0.858440606007165;"P800040PISY"
"P800040PISY_clim.17";1977;-1.41918124776783;-0.849807915598692;0.152255410166016;0.27458880469984;"P800040PISY"
"P800040PISY_clim.18";1978;-0.619047147067417;-0.530797217966536;0.147694078501077;0.188104464288618;"P800040PISY"
"P800040PISY_clim.19";1979;-0.66849183866813;-0.197635115404647;0.211748866711186;0.58993665277628;"P800040PISY"
"P800040PISY_clim.20";1980;0.129891574961735;0.75160840904124;0.661027739644751;0.962568314000905;"P800040PISY"
"P800040PISY_clim.21";1981;-1.17088611098542;-0.548892608314391;-0.0810682664799657;-0.237123269575991;"P800040PISY"
"P800040PISY_clim.22";1982;-0.769676171519886;-1.39274821389581;0.0610109380323087;-0.0816432003033905;"P800040PISY"
"P800040PISY_clim.23";1983;-1.50388408798269;-1.98063916398884;-0.695600791966795;-1.30334701259516;"P800040PISY"
"P800040PISY_clim.24";1984;-0.0869484624288119;0.102889547615589;0.319914237961417;0.384386844850796;"P800040PISY"
"P800040PISY_clim.25";1985;-0.889982480934127;-0.109684870216063;0.484203999268834;0.975616561491116;"P800040PISY"
"P800040PISY_clim.26";1986;-1.30011916748946;-0.940338299381686;-0.0633509000705797;-0.124907288726699;"P800040PISY"
"P800040PISY_clim.27";1987;-0.72104511530261;-0.39238398038984;0.296055847231672;0.673219096114174;"P800040PISY"
"P800040PISY_clim.28";1988;-0.726230655499749;-0.721728980780967;-0.0863611453984502;-0.100008148722114;"P800040PISY"
"P800040PISY_clim.29";1989;-0.246373875159016;-0.746364411948292;0.10466567532036;-0.11262179253164;"P800040PISY"
"P800040PISY_clim.30";1990;-1.47962954852719;-1.01438340974559;0.116691650211879;-0.103048755080315;"P800040PISY"
"P800040PISY_clim.31";1991;-0.951461694560235;-1.11488197126302;0.0430266146346045;0.0776028706430952;"P800040PISY"
"P800040PISY_clim.32";1992;-2.10239253243863;-2.68320031570208;-0.825568244434629;-1.03173593798513;"P800040PISY"
"P800040PISY_clim.33";1993;-1.41912384658586;-1.84576076973868;-0.384876645024267;-0.605633717923708;"P800040PISY"
"P800040PISY_clim.34";1994;-1.71613335853077;-1.23578715671441;-0.122876801331704;-0.290953630568196;"P800040PISY"
"P800040PISY_clim.35";1995;-0.467516642995036;0.0504955350218798;0.409140510603093;0.482496161973907;"P800040PISY"
"P800040PISY_clim.36";1996;-0.597501063561273;0.096937599110772;0.544655296123724;0.774867832897802;"P800040PISY"
"P800040PISY_clim.37";1997;-1.17438140025932;-0.28770925761101;0.0974714112189485;0.691493652872753;"P800040PISY"
"P800040PISY_clim.38";1998;-1.08660494002556;-1.30092751383515;0.241511338717165;-0.138969450334015;"P800040PISY"
"P800040PISY_clim.39";1999;-1.24376079245367;-1.49056806897088;-0.262159722034068;-0.0708050410677637;"P800040PISY"
"P800040PISY_clim.40";2000;-1.81920846746603;-2.16714018106292;-0.539515186215651;-0.580228379455544;"P800040PISY"
"P800040PISY_clim.41";2001;-1.5329341453266;-1.00482263883058;0.0733444962542243;0.131181364864763;"P800040PISY"
"P800040PISY_clim.42";2002;-1.62790422683647;-1.8098274417907;-0.250094126381735;-0.754349894076174;"P800040PISY"
"P800040PISY_clim.43";2003;-1.61542335542889;-1.68519075985996;-0.695286515787207;-1.41778351306989;"P800040PISY"
"P800040PISY_clim.44";2004;-1.16837841491584;-1.19463658853885;-0.286904221165685;-0.18237411846249;"P800040PISY"
"P800040PISY_clim.45";2005;-1.02598198143381;0.531278928333325;0.445962260256688;1.0083722930624;"P800040PISY"
"P800040PISY_clim.46";2006;-2.2904010793533;-1.44274403177988;-0.0589122847100373;0.36264966763037;"P800040PISY"
"P800040PISY_clim.47";2007;-1.6876963252399;-1.53962030218068;-0.00878138868925855;-0.243851859807979;"P800040PISY"
"P800040PISY_clim.48";2008;-0.701038000212125;-0.634881833992699;-0.082809767133993;-0.309127609892297;"P800040PISY"
"P800040PISY_clim.49";2009;-2.32255200840804;-0.841119698117416;-0.440002102920742;0.158317418122605;"P800040PISY"
"P800040PISY_clim.50";2010;0.351601695207653;0.0591855690401889;0.88428243026835;1.35313670903415;"P800040PISY"
"P800040PISY_clim.51";2011;-0.99752578833728;-0.616045490799399;-0.0586684886810729;0.0186873819694697;"P800040PISY"
"P800040PISY_clim.52";2012;-1.49628021723484;-2.17882235621243;-0.25575470099519;-0.729415001605238;"P800040PISY"
"P800040PISY_clim.53";2013;-1.87423922922039;-0.325600376562006;0.214289989168417;0.553772558702139;"P800040PISY"
