"site_code";"species";"site_category";"lat";"lon";"X";"Y";"pH";"C";"N";"P";"Ca";"K";"Mg";"C.N";"RC1";"RC2";"RC3"
"1";"P800058PCAB";"PCAB";"moderate";49.438;16.041;-636122.570319211;-1129325.5474719;4.168;25.562;1.067;483.279;2264.508;298.596;350.03;24;-0.197815807197908;-0.0594361466521809;0.549406308184939
"2";"P800052QURO";"QUSP";"moderate";49.26121;16.3904883;-613108.170532861;-1151720.71682333;5.218;15.227;0.798;465.63;4879.204;351.16;377.306;19.1;1.25102756799052;-0.665812479165834;-1.11115637930694
"3";"P810405ABAL";"ABAL";"extreme";48.842847;14.158569;-780775.000467555;-1177477.0338101;4.122;24.588;1.199;622.855;2140.45;354.82;238.712;20.5;-0.815744496490157;0.269399514196788;-1.36895851804146
"4";"P800057PISY";"PISY";"moderate";49.523;16.319;-615039.132038028;-1122212.16183803;4.151;22.131;1.017;462.333;2494.146;285.084;226.057;21.8;-0.39497783504569;-0.206487175575974;-0.364596600213671
"5";"P800040PISY";"PISY";"moderate";48.949;17.229;-555866.1021484;-1192664.75298035;4.952;20.588;0.872;426.323;2031.984;225.58;536.297;23.6;0.399728981281924;-0.978217791849598;0.57938391909493
"6";"P800044PCAB";"PCAB";"moderate";49.103;17.176;-558015.427836088;-1175239.01179702;4.848;17.079;0.739;460.85;3614.409;321.674;345.778;23.1;0.86366764813676;-0.972458985245111;0.722924188748487
"7";"P800060QUPE";"QUSP";"acid";49.6752183;15.4812108;-673205.152968442;-1098326.35347978;4.035;26.825;1.128;469.448;1321.43;316.548;208.483;23.8;-1.01833781453716;0.13409010874313;0.0282534678484079
"8";"P800057FASY";"FASY";"moderate";49.523;16.319;-615039.132038028;-1122212.16183803;4.151;22.131;1.017;462.333;2494.146;285.084;226.057;21.8;-0.39497783504569;-0.206487175575974;-0.364596600213671
"9";"P800064FASY";"FASY";"moderate";49.8372722;16.4508358;-601724.183790268;-1088524.88517555;4.502;23.676;1.04;456.165;2580.758;318.483;215.446;22.8;-0.0253067397429226;-0.276424316656231;0.0112635187761198
"10";"P800046ABAL";"ABAL";"moderate";49.388;17.976;-497030.238069479;-1149209.30248206;4.511;23.235;0.975;442.615;2007.191;302.578;170.573;23.8;-0.110654728205004;0.131509063517615;0.407050865807681
