"site_code";"species";"site_category";"lat";"lon";"X";"Y";"pHH2O";"C";"N";"Ptot";"Ca";"K";"Mg";"C.N";"RC1";"RC2";"RC3"
"1";"P800058PCAB";"PCAB";"moderate";49.438;16.041;-636122.570319211;-1129325.5474719;4.4755;14.0405;0.5985;396.81;1307.1805;199.026;228.106;21.7;-0.111293113619899;0.226787748434302;0.318855351014037
"2";"P800052QURO";"QUSP";"moderate";49.26121;16.3904883;-613108.170532861;-1151720.71682333;5.099;8.632;0.4655;379.388;2974.6455;241.9545;258.0585;17.2;0.862122300661322;-0.675095786129114;-0.915225826847879
"3";"P810405ABAL";"ABAL";"extreme";48.842847;14.158569;-780775.000467555;-1177477.0338101;4.3225;13.6995;0.674;511.018;1151.517;219.84;139.745;19.7;-0.720573059127492;-0.100139998495016;-0.687889407378584
"4";"P800057PISY";"PISY";"moderate";49.523;16.319;-615039.132038028;-1122212.16183803;4.212;12.2115;0.5665;386.8415;1396.072;195.743;136.7655;20.8;-0.555106519018951;-0.294236039540908;-0.140779422273505
"5";"P800040PISY";"PISY";"moderate";48.949;17.229;-555866.1021484;-1192664.75298035;4.8525;11.5665;0.5655;279.0325;1186.625;137.326;286.363;16.7;0.146417796348487;-0.638215188581411;-0.603303565069945
"6";"P800044PCAB";"PCAB";"moderate";49.103;17.176;-558015.427836088;-1175239.01179702;4.925;9.2955;0.42;330.7465;2278.644;229.536;223.6645;19.05;0.636012917617857;-0.944270432240638;0.0129578664093715
"7";"P800060QUPE";"QUSP";"acid";49.6752183;15.4812108;-673205.152968442;-1098326.35347978;4.101;14.5155;0.6215;360.7375;708.2945;199.115;120.8105;21.5;-0.839638019757996;0.780966049555505;0.0010886424079508
"8";"P800057FASY";"FASY";"moderate";49.523;16.319;-615039.132038028;-1122212.16183803;4.212;12.2115;0.5665;386.8415;1396.072;195.743;136.7655;20.8;-0.555106519018951;-0.294236039540908;-0.140779422273505
"9";"P800064FASY";"FASY";"moderate";49.8372722;16.4508358;-601724.183790268;-1088524.88517555;4.6475;13.05;0.609;330.5175;1841.5945;222.341;139.1415;18.2;0.162576283060218;-0.152259786705158;-0.582505308818225
"10";"P800046ABAL";"ABAL";"moderate";49.388;17.976;-497030.238069479;-1149209.30248206;4.693;12.5535;0.586;337.132;1548.6075;226.515;125.491;16.65;0.283627977551716;0.775507381391182;-0.909655717618284
