"site_code";"species";"site_category";"lat";"lon";"X";"Y";"pH";"C";"N";"P";"Ca";"K";"Mg";"C.N";"RC1";"RC2";"RC3"
"1";"P800058PCAB";"PCAB";"moderate";49.438;16.041;-636122.570319211;-1129325.5474719;4.783;2.519;0.13;310.341;349.853;99.456;106.182;19.4;-0.0247704200418904;0.513011643520785;0.0883043938431357
"2";"P800052QURO";"QUSP";"moderate";49.26121;16.3904883;-613108.170532861;-1151720.71682333;4.98;2.037;0.133;293.146;1070.087;132.749;138.811;15.3;0.473217033332123;-0.684379093092395;-0.719295274388819
"3";"P810405ABAL";"ABAL";"extreme";48.842847;14.158569;-780775.000467555;-1177477.0338101;4.523;2.811;0.149;399.181;162.584;84.86;40.778;18.9;-0.625401621764827;-0.469679511186819;-0.00682029671570691
"4";"P800057PISY";"PISY";"moderate";49.523;16.319;-615039.132038028;-1122212.16183803;4.273;2.292;0.116;311.35;297.998;106.402;47.474;19.8;-0.715235202992212;-0.381984903505843;0.0830377556666604
"5";"P800040PISY";"PISY";"moderate";48.949;17.229;-555866.1021484;-1192664.75298035;4.753;2.545;0.259;131.742;341.266;49.072;36.429;9.8;-0.10689338858495;-0.298212585313225;-1.78599104923482
"6";"P800044PCAB";"PCAB";"moderate";49.103;17.176;-558015.427836088;-1175239.01179702;5.002;1.512;0.101;200.643;942.879;137.398;101.551;15;0.408358187098954;-0.916081879236165;-0.697008455929744
"7";"P800060QUPE";"QUSP";"acid";49.6752183;15.4812108;-673205.152968442;-1098326.35347978;4.167;2.206;0.115;252.027;95.159;81.682;33.138;19.2;-0.660938224978833;1.42784199036788;-0.0260761830325063
"8";"P800057FASY";"FASY";"moderate";49.523;16.319;-615039.132038028;-1122212.16183803;4.273;2.292;0.116;311.35;297.998;106.402;47.474;19.8;-0.715235202992212;-0.381984903505843;0.0830377556666604
"9";"P800064FASY";"FASY";"moderate";49.8372722;16.4508358;-601724.183790268;-1088524.88517555;4.793;2.424;0.178;204.87;1102.431;126.199;62.837;13.6;0.350459305863359;-0.0280952567540857;-1.17627413641257
"10";"P800046ABAL";"ABAL";"moderate";49.388;17.976;-497030.238069479;-1149209.30248206;4.875;1.872;0.197;231.649;1090.024;150.452;80.409;9.5;0.677910683308436;1.41950569926475;-2.22636230104425
