"site_code","tree_id","tree_core_id","year","value","detrend_value"
"P810405ABAL",1,"0101a",1831,"NULL","NULL"
"P810405ABAL",1,"0101a",1832,"NULL","NULL"
"P810405ABAL",1,"0101a",1833,"NULL","NULL"
"P810405ABAL",1,"0101a",1834,"NULL","NULL"
"P810405ABAL",1,"0101a",1835,"NULL","NULL"
"P810405ABAL",1,"0101a",1836,"NULL","NULL"
"P810405ABAL",1,"0101a",1837,"NULL","NULL"
"P810405ABAL",1,"0101a",1838,"NULL","NULL"
"P810405ABAL",1,"0101a",1839,"NULL","NULL"
"P810405ABAL",1,"0101a",1840,"NULL","NULL"
"P810405ABAL",1,"0101a",1841,"NULL","NULL"
"P810405ABAL",1,"0101a",1842,"NULL","NULL"
"P810405ABAL",1,"0101a",1843,"NULL","NULL"
"P810405ABAL",1,"0101a",1844,"NULL","NULL"
"P810405ABAL",1,"0101a",1845,"NULL","NULL"
"P810405ABAL",1,"0101a",1846,"NULL","NULL"
"P810405ABAL",1,"0101a",1847,"NULL","NULL"
"P810405ABAL",1,"0101a",1848,"NULL","NULL"
"P810405ABAL",1,"0101a",1849,"NULL","NULL"
"P810405ABAL",1,"0101a",1850,"NULL","NULL"
"P810405ABAL",1,"0101a",1851,"NULL","NULL"
"P810405ABAL",1,"0101a",1852,"NULL","NULL"
"P810405ABAL",1,"0101a",1853,"NULL","NULL"
"P810405ABAL",1,"0101a",1854,"NULL","NULL"
"P810405ABAL",1,"0101a",1855,"NULL","NULL"
"P810405ABAL",1,"0101a",1856,"NULL","NULL"
"P810405ABAL",1,"0101a",1857,"NULL","NULL"
"P810405ABAL",1,"0101a",1858,"NULL","NULL"
"P810405ABAL",1,"0101a",1859,"NULL","NULL"
"P810405ABAL",1,"0101a",1860,"NULL","NULL"
"P810405ABAL",1,"0101a",1861,"NULL","NULL"
"P810405ABAL",1,"0101a",1862,"NULL","NULL"
"P810405ABAL",1,"0101a",1863,"NULL","NULL"
"P810405ABAL",1,"0101a",1864,"NULL","NULL"
"P810405ABAL",1,"0101a",1865,"NULL","NULL"
"P810405ABAL",1,"0101a",1866,"NULL","NULL"
"P810405ABAL",1,"0101a",1867,"NULL","NULL"
"P810405ABAL",1,"0101a",1868,"NULL","NULL"
"P810405ABAL",1,"0101a",1869,"128.0","143.0"
"P810405ABAL",1,"0101a",1870,"76.0","83.0"
"P810405ABAL",1,"0101a",1871,"89.0","95.0"
"P810405ABAL",1,"0101a",1872,"60.0","63.0"
"P810405ABAL",1,"0101a",1873,"129.0","132.0"
"P810405ABAL",1,"0101a",1874,"91.0","91.0"
"P810405ABAL",1,"0101a",1875,"56.0","55.0"
"P810405ABAL",1,"0101a",1876,"60.0","58.0"
"P810405ABAL",1,"0101a",1877,"22.0","21.0"
"P810405ABAL",1,"0101a",1878,"22.0","20.0"
"P810405ABAL",1,"0101a",1879,"17.0","16.0"
"P810405ABAL",1,"0101a",1880,"73.0","66.0"
"P810405ABAL",1,"0101a",1881,"136.0","120.0"
"P810405ABAL",1,"0101a",1882,"179.0","155.0"
"P810405ABAL",1,"0101a",1883,"155.0","132.0"
"P810405ABAL",1,"0101a",1884,"152.0","128.0"
"P810405ABAL",1,"0101a",1885,"170.0","141.0"
"P810405ABAL",1,"0101a",1886,"154.0","125.0"
"P810405ABAL",1,"0101a",1887,"112.0","90.0"
"P810405ABAL",1,"0101a",1888,"92.0","73.0"
"P810405ABAL",1,"0101a",1889,"203.0","159.0"
"P810405ABAL",1,"0101a",1890,"236.0","182.0"
"P810405ABAL",1,"0101a",1891,"64.0","49.0"
"P810405ABAL",1,"0101a",1892,"111.0","84.0"
"P810405ABAL",1,"0101a",1893,"161.0","120.0"
"P810405ABAL",1,"0101a",1894,"220.0","162.0"
"P810405ABAL",1,"0101a",1895,"230.0","167.0"
"P810405ABAL",1,"0101a",1896,"125.0","90.0"
"P810405ABAL",1,"0101a",1897,"217.0","155.0"
"P810405ABAL",1,"0101a",1898,"151.0","107.0"
"P810405ABAL",1,"0101a",1899,"106.0","74.0"
"P810405ABAL",1,"0101a",1900,"101.0","70.0"
"P810405ABAL",1,"0101a",1901,"100.0","69.0"
"P810405ABAL",1,"0101a",1902,"133.0","91.0"
"P810405ABAL",1,"0101a",1903,"92.0","63.0"
"P810405ABAL",1,"0101a",1904,"78.0","53.0"
"P810405ABAL",1,"0101a",1905,"70.0","47.0"
"P810405ABAL",1,"0101a",1906,"71.0","47.0"
"P810405ABAL",1,"0101a",1907,"100.0","66.0"
"P810405ABAL",1,"0101a",1908,"95.0","63.0"
"P810405ABAL",1,"0101a",1909,"106.0","69.0"
"P810405ABAL",1,"0101a",1910,"135.0","88.0"
"P810405ABAL",1,"0101a",1911,"146.0","95.0"
"P810405ABAL",1,"0101a",1912,"210.0","136.0"
"P810405ABAL",1,"0101a",1913,"221.0","142.0"
"P810405ABAL",1,"0101a",1914,"286.0","184.0"
"P810405ABAL",1,"0101a",1915,"198.0","127.0"
"P810405ABAL",1,"0101a",1916,"249.0","159.0"
"P810405ABAL",1,"0101a",1917,"212.0","135.0"
"P810405ABAL",1,"0101a",1918,"157.0","100.0"
"P810405ABAL",1,"0101a",1919,"238.0","152.0"
"P810405ABAL",1,"0101a",1920,"192.0","122.0"
"P810405ABAL",1,"0101a",1921,"167.0","106.0"
"P810405ABAL",1,"0101a",1922,"127.0","81.0"
"P810405ABAL",1,"0101a",1923,"160.0","102.0"
"P810405ABAL",1,"0101a",1924,"147.0","94.0"
"P810405ABAL",1,"0101a",1925,"195.0","125.0"
"P810405ABAL",1,"0101a",1926,"200.0","129.0"
"P810405ABAL",1,"0101a",1927,"242.0","157.0"
"P810405ABAL",1,"0101a",1928,"165.0","107.0"
"P810405ABAL",1,"0101a",1929,"111.0","73.0"
