"site_code","site_name","species","elevation","el_min","el_max","plot_area","site_category","management_type","species_composition","no_of_trees","no_species_sampled","species_2","species_3","species_4","species_5","no_cores_per_tree","tree_map","disturbance_history","management_history","data_collection_design","remark","research_group","responsible","mean_dbh","mean_height","first_year","last_year","data_at_tree_level","sapwood","anatomy","isotopes","density","slope","aspect","geom","geom_poly","mean_trw","age_mean","lat","lon","rwl_file"
"P800058PCAB","NM_647A_PCAB","PCAB",540,"NULL","NULL","NULL","moderate","man","MIX","20",2,"PISY","NULL","NULL","NULL","2","binary data","binary data","binary data","ran","NULL","VUKOZ","jakub.kaspar@vukoz.cz","49.8","NULL",1880,2022,"binary data","0","binary data","binary data","binary data","NULL","NULL","0101000020E6100000D122DBF97E0A3040F2D24D6210B84840","NULL","1.687","234",49.438,16.041,"P800058PCAB.rwl"
"P800052QURO","NO_621B_QURO","QURO",370,"NULL","NULL","NULL","moderate","man","MIX","20",4,"PCAB","FASY","ABAL","NULL","2","binary data","binary data","binary data","ran","NULL","VUKOZ","jakub.kaspar@vukoz.cz","47.9","NULL",1812,2021,"binary data","0","binary data","binary data","binary data","NULL","NULL","0101000020E61000007CF88D0AF7633040AFB14B546FA14840","NULL","1.509","247",49.26121,16.3904883,"P800052QURO.rwl"
"P810405ABAL","Brevniste","ABAL",812,"NULL","NULL","NULL","extreme","NULL","Monoculture","190",1,"NULL","NULL","NULL","NULL","2","binary data","binary data","binary data","grid","NULL","VUKOZ","jakub.kaspar@vukoz.cz","36.9","NULL",1831,2019,"binary data","0","binary data","binary data","binary data","NULL","NULL","0101000020E6100000A051BAF42F512C400F441669E26B4840","0103000020E6100000010000000500000079B29B19FD502C402A745E63976C4840FA9B508880532C405EBD8A8C0E6C4840C1AC50A4FB512C40FD82DDB06D6B484040C39B35784F2C40F9BD4D7FF66B484079B29B19FD502C402A745E63976C4840","1.525","106",48.842847,14.158569,"P810405ABAL_trw_data.rwl"
"P800057PISY","NM_741B_PISY","PISY",620,"NULL","NULL","NULL","moderate","man","MIX","21",2,"PCAB","NULL","NULL","NULL","2","binary data","binary data","binary data","ran","NULL","VUKOZ","jakub.kaspar@vukoz.cz","39.1","NULL",1919,2022,"binary data","0","binary data","binary data","binary data","NULL","NULL","0101000020E61000008B6CE7FBA95130406DE7FBA9F1C24840","NULL","1.578","198",49.523,16.319,"P800057PISY.rwl"
"P800040PISY","BU_255C_PISY","PISY",205,"NULL","NULL","NULL","moderate","man","MON","20",1,"NULL","NULL","NULL","NULL","2","binary data","binary data","binary data","ran","NULL","VUKOZ","jakub.kaspar@vukoz.cz","45.5","30.2",1897,2021,"binary data","0","binary data","binary data","binary data","NULL","NULL","0101000020E6100000B4C876BE9F3A3140B6F3FDD478794840","NULL","1.573","230",48.949,17.229,"P800040PISY.rwl"
"P800044PCAB","BU_052C_PCAB","PCAB",455,"NULL","NULL","NULL","moderate","man","mon","11",2,"PISY","NULL","NULL","NULL","2","NULL","NULL","NULL","ran","NULL","NULL","jakub.kaspar@vukoz.cz","57.3","NULL",1883,2021,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","0101000020E6100000931804560E2D314077BE9F1A2F8D4840","NULL","2.373","205",49.103,17.176,"P800044PCAB.rwl"
"P800060QUPE","LS_855A_QUSP","QUPE",505,"NULL","NULL","NULL","acid","man","mon","20",2,"PISY","NULL","NULL","NULL","2","NULL","NULL","NULL","ran","NULL","NULL","jakub.kaspar@vukoz.cz","35.1","NULL",1932,2022,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","0101000020E6100000C8F6104361F62E409214A28D6DD64840","NULL","1.735","166",49.6752183,15.4812108,"P800060QUPE.rwl"
"P800057FASY","NM_741B_FASY","FASY",620,"NULL","NULL","NULL","moderate","man","mon","19",2,"PISY","NULL","NULL","NULL","2","NULL","NULL","NULL","ran","NULL","NULL","jakub.kaspar@vukoz.cz","42.5","NULL",1921,2022,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","0101000020E61000008B6CE7FBA95130406DE7FBA9F1C24840","NULL","2.112","188",49.523,16.319,"P800057FASY.rwl"
"P800064FASY","SV_960A_FASY","FASY",465,"NULL","NULL","NULL","moderate","man","mix","20",3,"PCAB","QUPE","NULL","NULL","2","NULL","NULL","NULL","ran","NULL","NULL","jakub.kaspar@vukoz.cz","45.2","NULL",1889,2022,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","0101000020E6100000B2DD98F969733040CC6C46BC2BEB4840","NULL","2.029","214",49.8372722,16.4508358,"P800064FASY.rwl"
"P800046ABAL","VS_924B_ABAL","ABAL",430,"NULL","NULL","NULL","moderate","man","mix","12",2,"PISY","NULL","NULL","NULL","2","NULL","NULL","NULL","ran","NULL","NULL","jakub.kaspar@vukoz.cz","NULL","NULL",1897,2021,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","0101000020E610000060E5D022DBF931408B6CE7FBA9B14840","NULL","2.506","207",49.388,17.976,"P800046ABAL.rwl"
